0 	0.00191364
0.010101 	0.00191364
0.020202 	0.00191364
0.030303 	0.00191364
0.040404 	0.00191364
0.0505051 	0.00191364
0.0606061 	0.00191364
0.0707071 	0.00191364
0.0808081 	0.00191364
0.0909091 	0.00191364
0.10101 	0.00191364
0.111111 	0.00191364
0.121212 	0.00191364
0.131313 	0.00191364
0.141414 	0.00191364
0.151515 	0.00191364
0.161616 	0.00191364
0.171717 	0.00191364
0.181818 	0.00191364
0.191919 	0.00191364
0.20202 	0.00191364
0.212121 	0.00191364
0.222222 	0.00191364
0.232323 	0.00191364
0.242424 	0.00191364
0.252525 	0.00191364
0.262626 	0.00191364
0.272727 	0.00191364
0.282828 	0.00191364
0.292929 	0.00191364
0.30303 	0.00191364
0.313131 	0.00191364
0.323232 	0.00191364
0.333333 	0.00191364
0.343434 	0.00191364
0.353535 	0.00191364
0.363636 	0.00191364
0.373737 	0.00191364
0.383838 	0.00191364
0.393939 	0.00191364
0.40404 	0.00191365
0.414141 	0.00191365
0.424242 	0.00191365
0.434343 	0.00191365
0.444444 	0.00191365
0.454545 	0.00191365
0.464646 	0.00191365
0.474747 	0.00191365
0.484848 	0.00191365
0.494949 	0.00191365
0.505051 	0.00191365
0.515152 	0.00191365
0.525253 	0.00191365
0.535354 	0.00191365
0.545455 	0.00191365
0.555556 	0.00191365
0.565657 	0.00191365
0.575758 	0.00191365
0.585859 	0.00191365
0.59596 	0.00191365
0.606061 	0.00191364
0.616162 	0.00191364
0.626263 	0.00191364
0.636364 	0.00191364
0.646465 	0.00191364
0.656566 	0.00191364
0.666667 	0.00191364
0.676768 	0.00191364
0.686869 	0.00191364
0.69697 	0.00191364
0.707071 	0.00191364
0.717172 	0.00191364
0.727273 	0.00191364
0.737374 	0.00191364
0.747475 	0.00191364
0.757576 	0.00191364
0.767677 	0.00191364
0.777778 	0.00191364
0.787879 	0.00191364
0.79798 	0.00191364
0.808081 	0.00191364
0.818182 	0.00191364
0.828283 	0.00191364
0.838384 	0.00191364
0.848485 	0.00191364
0.858586 	0.00191364
0.868687 	0.00191364
0.878788 	0.00191364
0.888889 	0.00191364
0.89899 	0.00191364
0.909091 	0.00191364
0.919192 	0.00191364
0.929293 	0.00191364
0.939394 	0.00191364
0.949495 	0.00191364
0.959596 	0.00191364
0.969697 	0.00191364
0.979798 	0.00191364
0.989899 	0.00191364
0.999994 	0.00191364
